unitid,year,twoyr,fouryr,public,privnp,privfp,openadmp,longitud,latitude,efteug,eftotlt,eftotlw,efwhitt,efdetot,efdesom,upgrntn,upgrntp,pttot,age25o,fips,rucc,ctunemrate,ctwhitepct,ctblackpct,cthisppct,ctasianpct,ctnatamerpct,ctpov100pct,ctmedianinc,cthspct,ctbapct,ctlt5pct,ct5to19pct,ct20to34pct,ct35to60pct,ctgt60pct,ctlandarea,ctpopdens,ctpop,cthhu,stfips,region,stname,statepop,stunemrate,stappropfte,stbapct,stnonwpct,pctbbold,pctbbnew,wmdown
101958,2013,1,0,0,0,1,1,-86.162213,32.383091,133,102,98,68,102,20,78,64,0,67,1101,2,7.3,38.72,54.85,4.27,2.1,0.06,21.3,50.642,81.62,31.83,7.59,21.08,20.06,32.9,18.37,784,289,231.072,104.395,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.91,94.44,7.20751798228757
102030,2012,1,0,1,0,0,1,-88.056982,30.693972,2906,3791,2409,1122,3791,488,2430,61,1822,1538,1097,2,11.7,62.38,34.21,1.56,1.36,0.5,20.5,44.718,77.82,18.74,5.36,21.56,20.95,33.4,18.73,1229,336,417.324,181.445,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.96,89.94,7.2443643249808
102030,2013,1,0,1,0,0,1,-88.056982,30.693972,2822,3896,2326,1197,3896,440,2408,64,1725,1545,1097,2,11.7,62.05,33.82,2.18,1.43,0.51,20.5,44.947,77.88,18.79,7.45,21.58,20.29,32.21,18.47,1229,337,419.65,183.959,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.88,88.66,7.81893109264436
102049,2013,0,1,0,1,0,0,-86.790932,33.464578,3100,3013,1966,2439,3013,26,443,15,163,181,1073,1,8.6,53.39,41.49,4,1.05,0.07,18.6,53.607,82.71,26.97,7.51,20.61,19.34,33.29,19.25,1111,593,654.489,303.878,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.89,88.78,7.25092829521213
102067,2012,1,0,1,0,0,1,-87.56148,33.120531,4211,5104,2926,2759,5104,574,2784,52,2405,1224,1125,3,7.4,68.08,28.91,2.16,0.81,0.05,18,46.548,78.68,24.69,4.41,18.43,22.79,34.59,19.78,1322,150,201.187,88.034,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.68,90.35,7.55296077690475
102067,2013,1,0,1,0,0,1,-87.56148,33.120531,4106,5068,2859,2811,5068,30,2663,52,2600,1164,1125,3,7.8,67.47,28.81,2.83,0.85,0.05,18,46.61,78.71,24.72,6.21,18.54,21.84,33.86,19.55,1322,152,204.329,89.721,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.18,86.61,7.73540341520716
102076,2012,1,0,1,0,0,1,-86.169482,34.20065,1940,2436,1499,1077,2436,1027,1392,58,877,703,1095,4,9.7,87.59,0.98,11.04,0.21,0.18,19.4,39.654,65.46,12.86,6.52,21.58,18.96,32.52,20.42,566,167,95.439,41.914,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.69,94.29,7.39740704376923
102076,2013,1,0,1,0,0,1,-86.169483,34.200648,2023,2295,1388,1896,2295,1044,1399,57,754,658,1095,4,9.4,86.16,1.06,12.33,0.21,0.25,19.4,39.779,65.28,12.85,8.27,21.94,18.49,31.35,19.94,566,167,96.54,42.587,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.25,90.12,7.59395282700295
102094,2012,0,1,1,0,0,0,-88.18189,30.695081,10365,11315,6343,7274,11315,2462,4246,37,2607,2770,1097,2,11.7,62.38,34.21,1.56,1.36,0.5,20.5,44.718,77.82,18.74,5.36,21.56,20.95,33.4,18.73,1229,336,417.324,181.445,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.96,89.94,7.9454964406407
102094,2013,0,1,1,0,0,0,-88.18189,30.695081,10289,11307,6411,7182,11307,2153,4235,37,2540,2649,1097,2,11.7,62.05,33.82,2.18,1.43,0.51,20.5,44.947,77.88,18.79,7.45,21.58,20.29,32.21,18.47,1229,337,419.65,183.959,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.88,88.66,8.48741260659946
